INFO2022-02-21 16:16:37,149 | Index: 1 | State: ALIVE | Name: AI72| Prof: WARRIOR | HP: 100 | EXP: 8 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:37,149 | Index: 2 | State: ALIVE | Name: AI27| Prof: TANK | HP: 100 | EXP: 0 | ATK: 4 | DEF: 12 | Rank: 0
INFO2022-02-21 16:16:45,154 | Player Group: HUMANS
INFO2022-02-21 16:16:45,154 | Total Coins :81
INFO2022-02-21 16:16:45,154 | Index: 0 | State: ALIVE | Name: HM27| Prof: WARRIOR | HP: 100 | EXP: 85 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:45,154 | Index: 1 | State: ALIVE | Name: HM48| Prof: TANK | HP: 100 | EXP: 0 | ATK: 4 | DEF: 12 | Rank: 0
INFO2022-02-21 16:16:45,154 | Index: 2 | State: ALIVE | Name: HM38| Prof: WARRIOR | HP: 81 | EXP: 0 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:45,154 | Player Group: AIs
INFO2022-02-21 16:16:45,154 | Total Coins :51
INFO2022-02-21 16:16:45,154 | Index: 0 | State: ALIVE | Name: AI85| Prof: WARRIOR | HP: 82 | EXP: 26 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:45,154 | Index: 1 | State: ALIVE | Name: AI72| Prof: WARRIOR | HP: 100 | EXP: 8 | ATK: 15 | DEF: 8 | Rank: 0
INFO2022-02-21 16:16:45,154 | Index: 2 | State: ALIVE | Name: AI27| Prof: TANK | HP: 100 | EXP: 30 | ATK: 4 | DEF: 12 | Rank: 0
INFO2022-02-21 16:18:07,550 | Game of Champion 0.10 has started.
INFO2022-02-21 16:18:07,550 | Initializing Pygame object.
INFO2022-02-21 16:18:08,672 | Loading Game Setup module.
INFO2022-02-21 16:18:11,760 | Setting up units for HM player.
INFO2022-02-21 16:18:11,761 | Setting up units for AI player.
